page,source_component,target_adapter,notes
/dashboard,FigmaDashboard,Card,"Main dashboard with KPI tiles and summary cards"
/dashboard,SummaryCard,Card,"KPI and metric display cards"
/dashboard,QuickActionsGrid,Card,"Quick action buttons container"
/properties,Properties,Table,"Property listing with search and filters"
/properties,PropertyCard,Card,"Individual property display card"
/properties,PropertyDetail,Card,"Property details view with metrics"
/properties,PropertyManage,Card,"Property management interface"
/payments,Payments,Table,"Payment list with filters and export"
/payments,PaymentMethodCard,Card,"Payment method display card"
/payments,PaymentMethodsCardList,Card,"Payment methods list container"
/payments,PaymentWizard,Modal,"Payment processing wizard"
/payments,UnifiedPaymentsLayout,Card,"Unified payment interface layout"
/document-center,DocumentCenter,Card,"Main document management hub"
/document-center,DocumentCard,Card,"Document preview card"
/document-center,DocumentViewer,Modal,"Document viewer modal"
/document-center,DocumentToolbar,Card,"Document action toolbar"
/document-center,FileDropzone,Card,"File upload dropzone"
/document-center,UploadDocumentsModal,Modal,"Document upload modal"
/document-center,PinnedContentContainer,Card,"Pinned content display"
/tenant/documents,TenantDocuments,Table,"Tenant document list with categories"
/tenant/documents,DocumentDisplay,Card,"Document display wrapper"
/tenant/documents,LeaseUploadParser,Card,"Lease parsing interface"
/tenant/payments,TenantPayments,Table,"Tenant payment history table"
/tenant/payments,PaymentMethodCard,Card,"Payment method selection card"
/tenant/payments,PaymentWizard,Modal,"Tenant payment processing wizard"
/tenant/payments,AutopayManager,Modal,"Autopay configuration modal"
/tenant/maintenance,TenantMaintenance,Table,"Maintenance request list"
/tenant/maintenance,MaintenanceRequestCard,Card,"Maintenance request card"
/tenant/transactions,TenantTransactions,Table,"Transaction history table"
/tenant/vehicles,TenantVehicles,Card,"Vehicle registration interface"
/contractor/dashboard,ContractorDashboard,Card,"Contractor dashboard with job overview"
/contractor/jobs,AvailableJobs,Table,"Available jobs list with filters"
/contractor/jobs,JobCard,Card,"Job opportunity display card"
/contractor/my-jobs,ContractorJobs,Table,"Active jobs management table"
/contractor/earnings,ContractorEarnings,Table,"Earnings and payment history"
/maintenance,Maintenance,Table,"Maintenance requests management"
/maintenance,WorkOrderCard,Card,"Work order display card"
/maintenance,ContractorManagement,Card,"Contractor assignment interface"
/analytics,Analytics,Card,"Analytics dashboard with charts"
/analytics,Chart,Card,"Chart visualization components"
/transactions,Transactions,Table,"Transaction management table"
/landlord/onboard,TenantOnboarding,Card,"Tenant onboarding workflow"
/landlord/onboard,TenantScreening,Card,"Tenant screening interface"
/landlord/vehicles,LandlordVehicles,Table,"Vehicle management table"
/profile,ProfilePage,Card,"User profile management"
/settings,SettingsPage,Card,"Application settings interface"
/support,SupportPage,Card,"Help and support interface"
/financial-setup,SimpleFinancialSetup,Card,"Financial integration setup"
/financial-setup,StripeConnectForm,Card,"Stripe connection form"
/financial-setup,PlaidLinkForm,Card,"Plaid bank account linking"
/design-library,DesignLibrary,Card,"Component showcase and design tokens"
/login,LoginPage,Card,"Authentication form"
/register,Register,Card,"User registration form"
/register,EnhancedSignInForm,Card,"Enhanced sign-in form"
/__mock,MockControlPanel,Card,"Development mock control panel"
